,Unnamed: 0,Edad,Sexo,Perscargo,Estrato,Nivel de estudios,Tipo de contrato,Ingresos,Egresos,Tipo de actividad,Tipo de vivienda,Total activos,Total pasivos,Salario,Ingresos por arriendo,Ingresos por honorarios,Ingresos financieros,Otros ingresos,Gasto familiar,Gasto obligatorio,Gasto arriendo,Otros gastos,Destino,Monto,Plazo,Cuota,ConoCliente,Garantia,RespPat,Fecha_corte,CuidadRes,Ocupacion,Agencia,Cargo,Califica,FecIngEmp,FecIngreso,FecUltAct,Ciiu,Pagare,Estado,MoraCome,EndeuIndi,Puntaje
28,29,45,yes,2,3,Técnico,Indefinido,1650000,147000,Empleado,Arrendada,0,0,1650000,0,0,0,0,0,147000,0,0,Consumo,3000000,24,168.682,Buena Experiencia CFB,Sin Codeudor,Sin Patrimonio,2009-01-31,Medellin,Técnicos asistentes de servicios financieros contables y afines,Centro,,0,2004-01-13,2006-01-12,2009-01-26,comercio al por mayo,,Negado,Mora mayor a 60 Dìas,0,45.0
29,30,42,yes,2,5,Bachiller,Indefinido,957649,155000,Empleado,Familiar,0,0,957649,0,0,0,0,0,155000,0,0,Consumo,3200000,24,176.165,Buenas Referencias,Sin Codeudor,Prop.sin Hipoteca,2009-01-31,Medellin,Sin Profesión,Floresta,,1,1996-11-05,2000-05-02,2009-01-22,industrias manufactu,,Negada,Con Experiencia sin Mora,19,
30,31,71,yes,0,3,Bachiller,Ninguno,1101664,191000,Jubilado,Propia,0,0,1101664,0,0,0,0,0,191000,0,0,Inv.Patrimonial,5100000,36,203315,Buena Experiencia CFB,Con Codeudor(es),Prop.sin Hipoteca,2009-01-31,Medellin,Sin Profesión,Belen,,1,2002-06-01,2003-04-02,2009-01-20,,41951.0,Negado,Con Experiencia sin Mora,0,73.0
31,32,41,yes,4,1,Bachiller,Ninguno,2400000,2260000,Independiente,Propia,0,3341000,0,0,0,2400000,0,645000,655000,960000,0,Reposicion de Activos Fij,2500000,24,142.161,Buena Experiencia CFB,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Sin Profesión,Microcrédito,,0,2007-02-16,2007-02-26,2009-01-23,otras actividades de,,Negado,Con Experiencia sin Mora,0,49.0
32,33,67,yes,1,4,Primaria,Ninguno,1511000,0,Jubilado,Familiar,0,305218,1511000,0,0,0,0,0,0,0,0,Consumo,7700000,48,256170,Buenas Referencias,Sin Codeudor,Prop.sin Hipoteca,2009-01-31,Rionegro,Sin Profesión,Rionegro,,0,1986-01-01,2006-04-07,2009-01-15,,41820.0,Negado,Con Experiencia sin Mora,0,106.0
33,34,29,yes,3,3,Profesional,Indefinido,1013000,563000,Empleado,Arrendada,0,0,1013000,0,0,0,0,0,563000,0,0,Consumo,1140000,18,75.562,Buenas Referencias,Sin Codeudor,Sin Patrimonio,2009-03-31,Itagui,Profesores de educación secundaria,Itagui,,1,2005-05-24,2004-08-17,2009-03-20,educacion - educacion  en todas,,Negada,Con Experiencia sin Mora,19,
34,35,41,yes,8,2,Bachiller,Indefinido,772000,418000,Empleado,Propia,0,0,772000,0,0,0,0,0,418000,0,0,Consumo,800000,12,77.037,Buena Experiencia CFB,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Sin Profesión,Altavista,,0,2006-03-06,2005-07-23,2009-01-27,administracion publi,,Negado,Mora mayor a 60 Dìas,0,64.0
35,36,59,yes,1,3,Primaria,Ninguno,2500000,216000,Independiente,Arrendada,0,0,0,0,0,0,2500000,0,216000,0,0,Consumo,5000000,36,207.683,Sin Referencias,Sin Codeudor,Prop.sin Hipoteca,2009-01-31,Medellin,Sin Profesión,Altavista,,1,1964-06-12,2002-02-28,2009-01-06,comercio al por mayo - comercio mantenimien,,Negado,Mora mayor a 60 Dìas,0,76.0
36,37,50,no,1,2,Bachiller,Ninguno,461500,0,Jubilado,Propia,0,0,461500,0,0,0,0,0,0,0,0,Consumo,4800000,36,195961,Buena Experiencia CFB,Sin Codeudor,Prop.sin Hipoteca,2009-01-31,Caldas,Sin Profesión,Caldas,,1,2000-01-01,2006-03-13,2009-01-14,,41795.0,Negado,Con Experiencia sin Mora,0,58.0
37,38,58,yes,1,4,Bachiller,Indefinido,5050000,3959000,Empleado,Arrendada,0,3100000,5050000,0,0,0,0,0,3959000,0,0,Consumo,8000000,48,290.893,Buena Experiencia CFB,Sin Codeudor,Prop.sin Hipoteca,2009-01-31,Medellin,Sin Profesión,Belen,,1,1971-09-27,2001-04-27,2009-01-26,otras actividades de - actividades de organ,,Negada,Con Experiencia sin Mora,11,
38,39,58,yes,0,3,Primaria,Ninguno,810000,432000,Independiente,Propia,0,0,0,810000,0,0,0,0,432000,0,0,Consumo,8000000,48,280.284,Sin Referencias,Con Codeudor(es),Prop.sin Hipoteca,2009-01-31,Medellin,Sin Profesión,Itagui,,0,,2008-06-17,2009-01-28,actividades inmobili - actividades inmobili,,Negado,Una mora 60 Dìas,0,74.0
39,40,38,no,2,3,Bachiller,Indefinido,612000,34000,Empleado,Propia,0,1000000,512000,0,0,0,100000,0,34000,0,0,Consumo,1200000,18,80748,Buena Experiencia CFB,Con Codeudor(es),Sin Patrimonio,2009-01-31,Rionegro,Diseño de Modas,Rionegro,,1,2005-04-25,2007-11-30,2009-01-14,industrias manufactu - fabricacion de produ,41710.0,Negado,Con Experiencia sin Mora,0,52.0
40,41,47,yes,2,3,Profesional,Indefinido,2733000,296000,Empleado,Arrendada,0,50000000,2733000,0,0,0,0,0,296000,0,0,Consumo,8000000,48,290.893,Sin Referencias,Sin Codeudor,Sin Patrimonio,2009-01-31,Medellin,Bibliotecarios documentalistas y afines,Caldas,,1,1985-04-22,2004-10-21,2009-01-15,educacion - educacion  en todas,,Negada,Mora mayor a 60 Dìas,22,
41,42,35,yes,2,3,Bachiller,Indefinido,1761500,43000,Empleado,Propia,0,4000000,1761500,0,0,0,0,0,43000,0,0,Consumo,40000000,60,$ 1.253.166,Buenas Referencias,No Admisible,Sin Patrimonio,2009-01-31,Medellin,Sin Profesión,Altavista,,0,1995-03-04,2007-06-01,2009-01-21,transporte almacenam - transporte por via t,,Negada,Con Experiencia sin Mora,11,
42,43,35,yes,2,3,Bachiller,Indefinido,1761500,43000,Empleado,Propia,0,4000000,1761500,0,0,0,0,0,43000,0,0,Consumo,40000000,60,$ 1.253.166,Buenas Referencias,No Admisible,Sin Patrimonio,2009-01-31,Medellin,Sin Profesión,Altavista,,0,1995-03-04,2007-06-01,2009-01-21,transporte almacenam - transporte por via t,,Negada,Con Experiencia sin Mora,11,
43,44,35,yes,2,3,Bachiller,Indefinido,1761500,43000,Empleado,Propia,0,4000000,1761500,0,0,0,0,0,43000,0,0,Consumo,40000000,60,$ 1.253.166,Buenas Referencias,No Admisible,Prop.sin Hipoteca,2009-01-31,Medellin,Sin Profesión,Altavista,,0,1995-03-04,2007-06-01,2009-01-21,transporte almacenam - transporte por via t,,Negada,Con Experiencia sin Mora,12,
44,45,35,yes,2,3,Bachiller,Indefinido,1761500,43000,Empleado,Propia,0,4000000,1761500,0,0,0,0,0,43000,0,0,Consumo,40000000,60,$ 1.253.166,Buenas Referencias,No Admisible,Prop.sin Hipoteca,2009-01-31,Medellin,Sin Profesión,Altavista,,0,1995-03-04,2007-06-01,2009-01-21,transporte almacenam - transporte por via t,,Negada,Con Experiencia sin Mora,12,
45,46,41,yes,6,3,Bachiller,Labor Contratada,496900,868000,Empleado,Propia,0,1000000,496900,0,0,0,0,0,868000,0,0,Consumo,1200000,18,82.598,Buena Experiencia CFB,Sin Codeudor,Sin Patrimonio,2009-01-31,Itagui,Sin Profesión,Itagui,,1,2008-10-01,2001-09-12,2009-01-21,industrias manufactu - elaboracion de produ,,Negado,Con Experiencia sin Mora,0,73.0
46,47,51,yes,0,2,Primaria,Ninguno,861500,186700,Jubilado,Arrendada,0,0,461500,400000,0,0,0,0,186700,0,0,Consumo,4000000,36,163301,Buenas Referencias,Con Codeudor(es),Prop.sin Hipoteca,2009-01-31,Sabaneta,Sin Profesión,Sabaneta,,1,,2009-01-08,2009-01-06,,41629.0,Negado,Sin experiencia,0,44.0
47,48,41,yes,4,4,Tecnólogo,Ninguno,2000000,572000,Independiente,Arrendada,0,0,0,0,0,0,2000000,0,572000,0,0,Consumo,4500000,36,186.915,Buenas Referencias,Sin Codeudor,Sin Patrimonio,2009-01-31,Medellin,Técnicos asistentes en operaciones comerciales.,Belen,,0,2007-01-01,2006-04-17,2009-01-20,comercio al por mayo - comercio mantenimien,,Negado,Con Experiencia sin Mora,0,79.0
