,Edad,Sexo,Perscargo,Estrato,Nivel de estudios,Tipo de contrato,Ingresos,Egresos,Tipo de actividad,Tipo de vivienda,Total pasivos,Salario,Ingresos por arriendo,Ingresos por honorarios,Ingresos financieros,Otros ingresos,Gasto familiar,Gasto obligatorio,Gasto arriendo,Otros gastos,Destino,Monto,Plazo,Cuota,Garantia,RespPat,Pagare,MoraCome,Puntaje,pasa,NumDias
53,0.4074074074074074,1.0,0.25,0.4,0.6666666666666666,0.25,0.06403294761539094,0.028795023577806764,0.25,1.0,0.06422018348623854,0.15621885736276173,0.0,0.0,0.0,0.0,0.0,0.028795023577806764,0.0,0.0,0.5,0.06810035842293907,0.5789473684210527,0.08909440481293807,0.7,0.6666666666666666,0.1010482180293501,0.0,0.5188679245283019,1.0,0.09222045364106646
54,0.42592592592592593,1.0,0.375,0.4,0.5,1.0,0.11042150107278224,0.0197652252433029,0.5,1.0,0.02505504587155963,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0197652252433029,0.0,0.0,0.5,0.07240143369175628,0.5789473684210527,0.08705725989352621,1.0,0.5,0.15220125786163521,0.0,,1.0,0.10266613609231993
55,0.7592592592592593,0.0,0.0,0.2,0.5,0.75,0.06030857896654898,0.004916223537674325,0.5,1.0,0.021788990825688075,0.0,0.3972,0.0,0.0,0.0,0.0,0.004916223537674325,0.0,0.0,0.5,0.13978494623655913,0.7894736842105263,0.16213942351729924,1.0,0.3333333333333333,,0.0,0.4716981132075472,1.0,0.28949462793473935
56,0.4444444444444444,1.0,0.375,0.0,0.5,1.0,0.07582678167005712,0.0017056285742951742,0.5,1.0,0.006422018348623854,0.0,0.0,0.0,0.0,0.10952380952380952,0.0,0.0017056285742951742,0.0,0.0,0.5,0.022222222222222223,0.3684210526315789,0.037967929623238104,1.0,0.5,0.05157232704402516,0.0,,1.0,0.2730799840827696
57,0.5185185185185185,1.0,0.5,0.4,0.5,0.0,0.011282919470115648,0.0,0.25,0.0,0.0,0.07532965819584407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03942652329749104,0.15789473684210525,0.12753177543042013,1.0,0.6666666666666666,0.15178197064989518,0.0,,1.0,0.022284122562674095
58,0.24074074074074073,1.0,0.375,0.2,0.0,0.0,0.10478750391290986,0.0,0.25,1.0,0.0,0.2187136756068471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.017921146953405017,0.2631578947368421,0.04244341976543522,0.2,0.6666666666666666,0.13333333333333333,0.0,,1.0,0.12116991643454039
59,0.35185185185185186,1.0,0.5,0.2,1.0,0.25,0.11546244590003649,0.06340925052673824,0.25,1.0,0.16055045871559634,0.19567522883467747,0.104,0.0,0.0,0.0,0.0,0.06340925052673824,0.0,0.0,0.5,0.07240143369175628,0.5789473684210527,0.09237453788686519,1.0,0.3333333333333333,0.07966457023060797,0.0,,1.0,0.013032232391563868
60,0.09259259259259259,0.0,0.125,0.2,0.8333333333333334,0.25,0.09201968024397382,0.00331092605598475,0.25,0.0,0.01834862385321101,0.19913493663745077,0.0,0.0,0.0,0.0,0.0,0.00331092605598475,0.0,0.0,0.5,0.04659498207885305,0.5789473684210527,0.06419159054852691,0.7,0.6666666666666666,,0.4,0.3584905660377358,1.0,0.201949860724234
61,0.5370370370370371,1.0,0.125,0.6,0.0,0.25,0.21183344995048506,0.06360991271194943,0.25,1.0,0.09174311926605505,0.3828626088585556,0.0,0.0,0.0,0.0,0.0,0.06360991271194943,0.0,0.0,0.5,0.025089605734767026,0.3684210526315789,0.044585902664043296,0.2,0.6666666666666666,0.08218029350104822,0.0,,1.0,0.6409669717469161
62,0.46296296296296297,0.0,0.25,0.4,0.0,0.25,0.14501622047550738,0.09601685562355775,0.25,1.0,0.0,0.2804021482139065,0.0,0.0,0.0,0.0,0.0,0.09601685562355775,0.0,0.0,0.5,0.13978494623655913,0.7894736842105263,0.1427508234682026,0.2,0.3333333333333333,,0.0,0.5377358490566038,1.0,0.27188619180262635
